# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : DEURNE
# Series code : 201
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1937,0.7,2.4,0.2,5.2,9.3,10.7,13.7,13.3,9.3,7.1,1.7,-0.3
1938,1.6,-0.2,3.3,2.0,6.2,10.6,12.3,12.9,10.5,6.0,5.6,-1.7
1939,2.6,0.4,1.0,5.1,6.8,10.9,12.5,12.7,10.4,4.7,4.7,-0.6
1940,-7.7,-3.4,1.9,5.1,8.4,11.7,12.3,10.5,8.9,4.8,3.6,-2.3
1941,-4.6,-1.2,1.3,2.8,4.8,12.4,14.2,11.3,9.9,5.9,1.9,1.3
1942,-6.7,-7.3,-0.5,4.4,7.4,10.3,12.2,13.5,10.5,8.1,2.7,1.8
1943,0.3,1.2,2.0,6.6,8.3,10.5,12.5,12.9,9.4,7.7,1.4,-1.3
1944,2.2,-1.8,-1.1,5.1,5.7,10.1,13.7,12.9,9.3,6.0,3.8,-0.1
1945,-7.5,2.7,3.7,5.2,9.0,11.5,13.2,12.6,11.1,8.1,2.5,0.5
1946,-3.0,2.0,0.7,4.0,7.4,9.5,12.7,11.6,10.6,5.7,3.6,-3.1
1947,-4.1,-7.8,0.3,5.3,9.8,12.6,14.2,13.5,12.8,4.8,3.9,1.6
1948,2.7,0.2,2.5,5.3,8.4,10.7,12.2,12.5,10.6,6.4,2.1,1.2
1949,1.1,0.0,-0.8,5.7,7.0,9.2,13.2,12.7,13.4,7.6,1.9,1.8
1950,-1.5,2.7,3.0,3.5,8.5,12.8,13.4,12.8,10.1,4.4,2.9,-5.0
1951,2.3,1.5,0.5,2.9,7.2,10.8,12.5,13.0,11.2,3.5,5.7,1.6
1952,0.8,0.4,2.0,5.4,8.7,10.5,13.7,13.2,8.2,5.0,1.2,-0.6
1953,-1.7,-0.1,0.9,4.5,8.7,11.9,13.3,12.0,9.4,7.1,3.5,2.9
1954,-2.8,-2.5,3.2,2.4,7.4,10.8,11.6,12.1,10.5,8.8,3.2,3.1
1955,-2.1,-2.2,-1.4,4.0,6.6,9.7,13.5,13.0,9.8,5.1,1.8,2.0
1956,-0.5,-10.8,1.1,2.5,7.2,9.2,13.1,10.8,10.6,6.9,1.9,3.6
1957,0.9,3.0,3.9,3.7,5.9,10.9,14.0,12.0,10.6,7.3,3.9,0.3
1958,0.2,1.4,-1.3,2.8,7.9,10.0,12.7,13.7,11.7,8.4,2.5,1.6
1959,-0.3,-2.2,3.0,5.4,8.2,10.4,13.3,13.0,8.8,5.4,1.6,3.2
1960,0.8,0.4,2.5,5.2,8.1,11.7,12.3,12.8,9.5,7.3,5.0,1.6
1961,0.3,2.7,3.4,6.9,7.5,10.5,11.9,12.4,13.0,7.4,2.2,-0.6
1962,1.8,0.6,-0.7,4.8,7.4,9.3,11.2,12.4,8.6,6.2,2.1,-3.2
1963,-7.2,-6.9,1.3,4.4,6.6,11.1,12.2,12.1,10.5,5.8,5.2,-4.0
1964,-1.4,1.5,-0.1,5.0,9.1,10.6,12.3,12.0,9.3,4.3,4.3,0.3
1965,0.9,-0.1,0.7,4.4,7.8,10.7,12.3,11.7,8.3,4.3,-0.4,2.6
1966,-2.6,3.1,2.3,4.8,8.0,12.1,12.0,11.8,9.6,8.0,1.3,2.0
1967,0.7,1.8,3.5,3.2,7.2,10.3,12.3,11.8,9.6,8.0,1.3,0.8
1968,-0.9,-0.7,3.0,3.2,6.9,10.8,12.1,13.5,10.1,8.6,1.7,-2.6
1969,1.6,-2.9,-0.5,3.1,8.5,10.6,13.8,13.3,9.5,7.7,3.9,-2.8
1970,-0.5,-1.1,0.1,3.8,8.7,12.0,12.6,11.8,10.5,7.6,4.7,0.1
1971,-0.8,1.2,-1.1,3.6,9.0,11.0,12.8,13.1,7.5,5.0,3.1,3.3
1972,-0.5,0.5,0.8,4.9,8.0,9.8,14.1,12.1,8.2,3.6,4.2,1.2
1973,0.3,0.8,1.2,3.0,8.3,11.9,13.8,12.8,10.5,5.0,2.3,0.2
1974,2.9,1.5,2.2,4.4,7.5,10.9,12.7,11.9,9.8,4.5,3.9,5.1
1975,3.7,-0.7,2.2,3.7,7.3,10.8,13.5,14.3,11.2,5.2,1.6,0.1
