# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : EZEMAAL
# Series code : 206
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1970,-0.8,-1.0,-0.3,2.9,7.5,10.7,11.5,11.6,9.4,6.9,4.8,-0.8
1971,-0.6,0.4,-2.0,2.2,7.9,9.9,11.1,12.8,6.6,4.4,1.9,2.6
1972,-0.7,0.3,0.3,4.3,7.2,9.4,13.2,11.1,6.7,2.0,3.5,0.8
1973,0.1,0.3,-0.6,2.3,7.6,10.6,12.7,11.7,9.4,4.1,1.1,-0.1
1974,2.4,1.2,1.8,2.3,5.2,9.2,11.7,10.9,9.4,4.5,4.0,4.9
1975,3.7,-1.0,2.4,4.0,6.3,9.7,12.7,13.0,11.5,4.6,1.4,-0.2
1976,1.9,-1.1,-1.1,1.4,7.0,10.4,13.1,9.8,8.7,7.2,4.4,-1.6
1977,1.0,1.7,2.9,1.9,6.5,10.8,12.6,11.7,7.4,7.2,4.5,1.8
1978,0.5,-1.2,2.6,2.2,7.7,10.5,10.5,10.3,9.3,6.2,2.4,-0.3
1979,-7.6,-1.9,1.9,3.7,6.9,11.5,11.7,10.7,7.8,6.7,2.2,3.9
1980,-1.9,2.3,2.1,2.8,5.6,10.4,11.8,12.4,10.4,5.3,2.2,0.8
1981,0.1,-1.4,6.0,3.9,8.1,10.6,12.6,12.0,9.4,5.5,3.4,-1.4
1982,-3.2,-0.4,1.8,2.5,7.0,11.8,13.0,12.9,10.7,8.1,5.6,1.4
1983,3.1,-3.2,2.5,4.8,7.3,11.2,14.4,12.3,10.0,6.3,0.9,1.1
1984,1.5,-0.4,-0.8,1.7,6.1,9.4,10.8,11.7,9.9,7.7,4.9,0.9
1985,-7.1,-5.7,0.7,4.6,8.4,9.5,11.7,11.3,9.2,5.3,0.3,3.6
1986,0.2,-8.5,0.2,2.8,7.7,11.1,12.1,10.0,5.9,7.1,4.7,2.2
1987,-5.3,-1.6,-0.4,5.0,5.5,10.3,12.2,12.0,10.8,6.2,3.7,1.2
1988,3.9,1.6,2.6,3.1,8.7,10.7,12.1,12.0,9.9,6.6,1.6,5.6
1989,1.2,1.2,4.1,2.8,7.1,9.5,12.1,11.7,9.6,8.5,0.5,1.7
1990,2.6,4.1,3.5,2.7,6.1,10.6,9.9,11.8,7.8,7.6,3.0,1.3
1991,0.4,-4.9,4.5,2.0,4.8,9.5,13.7,11.7,9.0,5.7,2.2,0.6
1992,0.4,1.3,3.1,3.7,8.5,11.1,13.1,13.9,9.3,3.9,4.8,1.4
1993,2.0,-0.4,0.1,5.9,9.4,10.5,12.6,9.6,8.7,6.1,-0.5,2.7
1994,2.3,-0.7,3.6,4.3,7.5,10.5,14.4,12.6,9.5,4.6,7.1,2.5
1995,0.9,3.7,1.1,4.6,6.8,10.1,14.3,12.9,9.7,8.2,2.0,-2.3
1996,-1.4,-1.5,-0.7,2.9,6.1,10.3,11.2,12.0,7.5,5.8,3.5,-1.7
1997,-5.1,3.4,4.4,1.7,7.4,10.6,12.2,14.1,7.4,4.6,3.4,2.4
1998,1.5,1.4,3.3,5.4,8.7,11.8,12.1,10.8,11.4,6.6,0.6,1.8
1999,3.2,-0.9,3.3,5.4,9.1,10.1,13.6,11.9,12.1,6.4,2.4,1.9
2000,1.7,2.6,3.1,5.0,10.3,11.1,12.0,12.7,11.4,8.1,5.6,3.2
2001,0.5,1.3,3.5,4.3,8.7,9.6,13.6,13.2,9.4,10.4,2.5,-0.6
2002,1.1,4.2,2.6,3.3,8.2,11.2,12.7,14.0,8.9,5.9,5.2,2.0
2003,-0.5,-2.8,2.7,3.0,8.5,12.2,13.1,12.4,7.0,2.4,4.0,1.2
2004,0.2,2.0,1.4,4.8,6.3,10.3,11.8,14.4,10.6,7.4,3.0,-0.4
2005,1.9,-0.3,2.3,4.7,7.6,10.8,13.9,10.8,9.8,8.3,3.3,1.1
