# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : MONT-RIGI
# Series code : 222
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1982,-3.4,-2.7,-0.8,0.4,5.6,9.8,10.9,10.2,9.8,4.8,2.4,-1.9
1983,-0.8,-5.9,-0.8,1.7,4.5,9.5,13.2,11.4,8.2,3.9,0.2,-1.4
1984,-2.2,-4.0,-2.2,0.3,3.6,7.1,8.8,10.7,7.3,5.5,3.6,-1.4
1985,-9.7,-7.0,-2.0,1.4,6.3,6.9,9.9,8.3,7.8,4.2,-3.7,-0.4
1986,-3.7,-11.1,-2.0,-0.7,6.0,9.5,9.7,8.6,4.9,5.8,2.0,-1.9
1987,-9.1,-3.9,-4.4,3.0,2.9,7.2,9.6,9.7,9.4,4.8,0.8,-1.5
1988,0.3,-2.2,-1.4,0.8,7.3,7.8,9.4,8.7,7.7,5.7,-0.2,1.7
1989,-1.3,-1.1,1.5,1.1,6.6,7.7,10.6,10.2,8.1,6.0,0.4,-0.1
1990,-1.3,0.6,1.6,0.9,6.7,8.2,9.1,11.6,6.1,6.2,1.1,-2.9
1991,-2.7,-5.8,2.3,0.8,3.3,6.2,12.1,10.8,9.0,4.5,-0.3,-2.4
1992,-2.2,-0.8,0.5,1.7,7.3,9.8,11.6,11.7,8.0,1.9,1.5,-1.3
1993,-1.2,-4.5,-1.6,4.4,7.7,8.7,9.5,8.5,7.7,3.5,-2.4,-1.1
1994,-1.3,-3.7,1.1,1.6,5.8,8.6,14.0,10.6,7.5,4.2,5.0,-0.1
1995,-3.0,-0.1,-1.5,2.2,6.1,7.7,13.5,12.6,7.1,7.7,0.5,-4.8
1996,-3.3,-4.9,-3.3,1.5,4.0,8.7,9.2,10.4,5.6,4.6,0.4,-4.2
1997,-5.8,-0.3,2.2,0.8,5.7,8.6,9.9,13.2,8.0,3.8,1.2,-0.9
1998,-1.2,-0.5,-0.1,2.8,7.7,9.1,9.3,9.7,9.0,3.5,-1.9,-1.0
1999,-1.0,-3.8,0.5,2.9,7.0,7.7,11.4,10.6,11.0,4.4,-0.9,-1.3
2000,-2.3,-1.0,1.0,3.5,8.2,9.0,9.4,10.5,9.5,5.6,2.8,1.0
2001,-2.3,-1.8,0.5,1.3,7.2,7.5,11.4,11.5,6.7,8.9,0.2,-3.3
2002,-1.6,0.0,0.1,1.9,6.3,9.6,10.5,11.7,7.2,4.2,3.2,-0.6
2003,-4.0,-4.8,1.4,1.9,6.6,11.0,11.0,12.3,7.2,1.4,2.4,-1.6
2004,-3.3,-2.5,-1.3,3.2,4.2,8.0,9.6,12.1,8.4,4.7,0.1,-3.2
2005,-1.8,-5.2,-0.1,2.8,5.4,9.2,10.9,8.8,9.1,7.4,0.7,-2.4
2006,-4.3,-3.8,-3.0,1.3,6.6,9.2,14.7,9.2,11.3,7.7,2.8,0.4
2007,0.2,0.5,0.7,5.2,7.1,10.4,9.6,9.2,6.8,3.9,0.3,-1.3
2008,-0.5,-0.8,-1.3,1.4,8.6,8.2,10.2,10.3,6.4,3.8,0.9,-3.0
2009,-5.1,-3.2,-0.6,5.2,6.4,7.6,10.5,10.7,8.4,4.0,3.6,-3.7
2010,-6.0,-3.8,-0.9,1.7,3.7,8.7,11.9,9.8,6.9,3.8,0.8,-6.8
2011,-2.6,-1.7,0.0,5.3,6.2,8.4,8.8,10.2,9.3,5.0,3.1,-0.3
2012,-0.8,-6.8,2.3,0.9,7.0,8.3,10.1,10.9,6.6,4.5,1.4,-1.5
2013,-3.3,-4.8,-4.4,0.8,4.4,8.2,12.1,10.0,7.5,6.1,0.2,0.1
2014,-0.1,-0.1,2.0,4.4,5.6,8.1,11.7,9.0,9.3,6.7,3.6,-1.4
2015,-2.7,-3.5,-0.6,1.8,4.7,8.0,11.4,12.0,6.9,4.2,3.8,3.5
2016,-1.4,-1.6,-1.6,1.3,6.9,10.3,11.2,10.7,10.1,3.8,0.7,-0.4
2017,-5.2,-0.2,1.8,0.7,7.4,10.7,10.7,11.0,7.1,6.4,1.0,-1.4
2018,0.3,-6.6,-2.0,5.1,8.5,10.5,12.6,11.5,7.3,5.7,1.7,0.1
2019,-3.0,0.6,1.4,3.4,4.1,10.8,11.0,10.8,7.5,6.0,1.0,0.3
2020,-0.5,0.1,-0.2,4.1,4.5,9.7,9.3,12.7,7.7,5.3,2.9,0.4
2021,-3.0,-1.8,-0.4,-0.7,3.8,11.7,11.0,10.2,9.2,4.5,0.7,0.2
2022,-1.1,-0.8,0.7,1.8,7.3,9.5,10.6,12.7,8.0,7.3,3.6,-2.0
2023,-1.1,-0.5,-0.2,1.3,6.3,11.6,10.2,11.0,10.7,6.8,2.2,0.8
