# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : LEOPOLDSBURG
# Series code : 216
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1937,0.8,2.4,0.0,5.1,9.0,9.9,11.4,11.4,8.2,6.9,1.6,-0.4
1938,1.0,-0.4,3.0,0.6,4.8,9.7,11.1,12.3,9.7,5.6,6.1,-2.4
1939,2.3,-0.3,0.2,4.2,5.2,9.2,11.3,11.3,8.1,4.2,4.1,-1.1
1940,-9.9,-4.1,1.8,4.5,6.7,9.9,11.0,9.4,7.9,4.0,3.6,-3.2
1941,-4.8,-1.5,0.9,1.7,3.9,11.3,12.9,10.3,8.9,5.2,1.6,0.9
1942,-8.1,-7.6,-0.1,3.3,6.9,8.9,11.3,12.1,10.0,8.3,2.0,1.2
1943,0.4,0.7,0.8,5.0,7.4,9.3,11.3,12.0,8.1,7.1,1.4,-1.0
1944,1.9,-2.9,-1.7,4.0,4.8,9.3,12.3,13.3,8.3,5.5,2.7,-0.6
1945,-8.1,2.5,2.7,4.1,8.3,10.4,11.8,11.1,10.0,6.7,2.0,0.4
1946,-3.4,1.4,0.4,2.8,7.0,8.9,11.5,10.5,9.4,4.9,3.0,-2.8
1947,-4.5,-7.5,0.2,4.0,8.6,11.4,12.8,12.4,10.7,3.7,3.5,0.9
1948,2.3,-1.0,1.8,4.1,7.5,10.0,10.9,10.8,8.8,4.8,1.3,0.1
1949,0.0,-0.9,-1.8,4.4,5.5,7.3,10.3,10.2,11.5,6.9,1.7,1.5
1950,-2.0,2.7,1.3,2.6,7.5,11.3,12.2,11.5,9.4,4.8,3.5,-3.8
1951,2.4,0.5,-0.1,1.8,6.0,8.7,10.1,11.4,10.5,3.3,5.7,1.6
1952,0.2,-0.8,1.3,3.5,7.2,9.1,12.1,12.0,7.0,3.8,0.3,-0.8
1953,-1.5,-1.0,0.1,3.8,7.3,10.5,12.1,10.8,8.4,7.2,3.4,3.0
1954,-3.5,-2.8,2.2,0.6,6.3,10.0,10.2,11.4,9.3,8.1,3.1,3.3
1955,-1.9,-2.8,-2.1,2.9,5.2,9.3,13.0,12.2,8.8,4.6,2.7,1.9
1956,0.3,-11.9,1.4,1.0,6.3,8.3,12.3,9.7,10.1,6.5,1.0,3.1
1957,-0.2,2.4,4.1,2.4,4.6,10.0,12.9,11.1,9.1,5.9,3.5,-0.1
1958,-0.7,0.0,-2.0,0.3,7.5,9.4,11.6,12.7,11.1,7.1,2.0,1.2
1959,-1.3,-3.3,1.9,4.7,7.3,9.6,12.3,12.0,7.7,4.0,1.5,2.1
1960,-0.8,0.0,1.9,3.5,7.5,11.0,10.6,11.6,8.8,7.0,4.1,0.9
1961,-0.8,1.7,1.7,6.4,6.1,9.7,10.5,11.0,12.7,7.3,1.6,-1.4
1962,0.6,-1.5,-1.8,3.5,5.7,8.1,10.4,10.9,6.6,5.3,1.5,-3.8
1963,-9.3,-7.6,1.0,3.6,5.9,10.8,11.2,10.9,9.5,5.3,4.9,-4.3
1964,-2.2,0.7,-0.7,4.4,8.5,10.1,11.5,10.8,9.0,3.6,3.9,-0.6
1965,0.7,-2.1,0.2,3.1,7.3,9.9,11.1,10.9,8.3,4.5,-0.3,1.9
1966,-3.2,3.4,0.9,4.5,7.7,12.0,11.4,10.9,9.1,8.1,1.1,1.3
1967,-0.1,1.3,2.8,1.8,7.6,9.6,12.6,11.8,9.7,8.2,1.3,-0.6
