# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : JALHAY
# Series code : 208
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1936,2.6,-2.0,2.5,2.3,6.9,10.7,12.9,11.8,10.1,4.0,2.5,0.2
1937,1.2,2.3,-0.1,4.8,8.9,10.1,12.4,12.6,9.0,7.6,1.7,-0.4
1938,0.8,-2.1,1.8,0.7,5.5,10.0,11.4,12.4,9.9,5.7,5.7,-2.4
1939,1.5,-0.9,0.3,4.8,5.1,9.0,11.7,11.4,9.1,4.6,4.5,-2.0
1940,-10.8,-2.5,1.9,4.6,6.3,9.2,11.6,10.0,9.0,4.4,4.5,-3.2
1941,-4.6,-1.5,1.1,2.4,4.2,11.8,13.6,10.9,9.6,5.8,1.9,0.6
1942,-8.1,-8.1,-0.2,3.8,7.5,9.1,12.2,12.3,10.6,9.4,2.2,0.7
1943,0.9,0.7,1.2,5.9,7.9,10.1,11.7,13.0,8.8,7.5,2.3,-0.8
1944,2.5,-2.9,-1.9,5.2,5.1,9.9,13.0,13.9,9.1,6.1,3.1,-0.8
1945,-8.1,2.5,2.9,4.9,8.6,11.5,12.6,11.7,11.0,7.3,2.3,0.2
1946,-3.4,1.4,0.8,2.7,7.1,10.0,12.7,11.9,9.7,5.5,3.4,-3.0
1947,-4.5,-8.4,-0.1,4.8,7.7,12.0,13.7,12.2,11.7,4.2,4.0,0.4
1948,2.9,-1.3,2.0,4.8,7.8,11.0,12.0,12.0,10.0,5.2,2.0,-0.1
1949,0.5,-0.7,-1.3,5.3,6.2,8.7,11.6,13.0,12.3,7.8,1.2,-0.0
1950,-2.4,2.6,2.0,2.9,6.7,11.7,13.3,12.2,9.5,5.4,2.7,-5.5
1951,1.7,1.6,0.7,3.0,6.3,10.4,11.7,12.2,10.8,3.6,6.1,1.6
1952,-0.3,-1.9,2.5,4.9,8.0,10.3,13.0,12.8,7.2,5.2,0.9,-1.3
1953,-2.5,-1.7,0.3,4.1,8.3,11.4,13.3,12.1,9.4,8.0,2.7,3.4
1954,-3.8,-3.5,2.8,1.0,7.1,10.6,10.9,12.2,10.2,8.6,3.7,2.3
1955,-2.2,-3.4,-3.0,2.3,5.8,10.0,13.1,12.6,9.6,4.9,2.8,2.0
1956,-0.3,-14.5,1.8,1.9,7.5,9.2,13.1,10.4,10.9,6.6,1.8,3.2
1957,0.0,2.9,5.0,2.6,4.9,10.0,14.3,11.5,9.6,6.3,3.6,-0.1
1958,-0.2,0.6,-2.0,1.4,8.3,10.0,12.9,14.0,12.7,7.4,2.7,1.5
1959,-0.7,-2.8,3.4,5.6,7.7,9.9,12.1,11.9,7.7,5.1,2.0,2.1
1960,-1.2,0.0,3.1,4.0,8.0,11.5,10.9,12.3,9.2,7.8,4.9,0.6
1961,-0.7,2.4,2.8,7.5,6.4,10.0,11.0,11.8,13.4,8.3,2.3,-0.8
1962,0.7,-1.0,-2.5,4.0,6.0,7.8,11.0,11.4,8.8,5.6,1.7,-3.4
1963,-10.1,-7.6,1.0,4.4,7.0,11.1,11.4,11.8,10.0,5.4,6.0,-5.1
1964,-2.5,0.8,-0.5,4.6,8.6,10.5,12.2,11.5,9.6,4.1,3.5,-1.4
1965,0.1,-3.4,-0.2,2.5,6.8,9.7,11.0,10.6,8.7,4.7,0.6,1.9
1966,-3.2,4.2,1.0,5.1,7.8,11.8,11.6,11.3,9.6,8.9,0.8,1.3
1967,0.1,1.4,3.4,1.7,7.8,9.4,13.1,11.9,9.3,8.3,1.4,-1.5
1968,-2.0,-1.4,2.0,3.7,6.4,9.9,11.8,12.4,10.6,8.0,1.8,-3.0
1969,1.4,-3.5,0.6,3.4,8.8,9.2,13.7,12.3,9.1,7.0,2.5,-4.6
1970,-0.9,-2.5,-1.1,2.8,8.3,11.8,11.8,12.3,9.5,6.6,4.8,-1.0
1971,-0.2,-0.2,-2.4,3.5,9.4,10.2,12.3,13.1,8.7,5.0,1.2,2.8
1972,-1.1,1.0,2.2,3.7,7.5,9.7,13.3,11.5,6.7,4.0,3.1,1.7
1973,-0.7,-1.0,-0.2,2.2,9.1,11.0,12.6,13.6,10.7,5.1,2.1,-0.6
1974,2.6,1.0,2.3,3.4,6.5,9.4,10.9,12.1,9.3,3.8,3.7,4.1
1975,3.4,0.0,1.8,3.4,6.0,9.4,12.8,14.6,11.1,4.8,2.1,-1.1
1976,1.4,-0.5,-1.3,1.5,7.7,11.7,14.0,11.0,9.7,7.9,3.7,-2.0
1977,0.0,1.7,3.4,1.9,6.4,10.4,11.9,11.9,8.3,8.5,3.9,2.1
1978,0.1,-2.0,2.4,2.4,7.5,10.2,10.8,10.4,9.1,6.2,2.0,0.5
1979,-6.1,-2.6,1.2,3.4,6.5,11.1,11.4,10.9,8.9,7.6,2.3,2.9
1980,-3.0,2.0,1.4,2.3,5.7,10.4,11.3,12.8,10.3,5.2,1.5,-0.6
1981,-1.5,-3.4,4.9,3.9,8.0,10.5,12.3,12.0,9.9,5.2,3.1,-2.5
1982,-1.8,-0.3,0.9,2.7,7.5,11.7,13.0,12.4,10.9,7.6,5.1,0.6
1983,2.4,-3.6,2.2,4.6,7.1,11.8,14.5,12.3,9.4,5.9,1.9,1.2
1984,0.9,-1.6,-0.8,2.3,6.2,9.5,11.7,12.5,10.4,8.5,6.7,1.4
1985,-7.9,-5.1,0.3,4.2,8.8,9.6,12.4,11.0,9.6,6.1,-0.7,3.0
1986,-0.3,-9.5,0.6,2.4,8.4,11.3,12.1,11.1,6.2,8.1,4.6,1.4
1987,-7.1,-1.5,-2.0,5.0,5.4,10.6,12.5,12.0,11.3,7.9,2.8,0.5
1988,3.5,1.0,1.4,2.6,9.7,10.2,12.5,11.8,10.3,7.3,2.1,4.2
1989,1.1,1.2,4.2,3.4,8.0,9.5,12.6,12.4,9.8,8.9,1.8,1.5
1990,1.9,3.9,3.6,1.9,8.5,10.6,10.6,13.0,7.8,8.7,3.5,0.6
1991,-0.4,-4.8,4.4,2.6,4.4,9.0,14.2,11.7,10.1,6.5,1.9,0.5
1992,-0.6,0.9,3.1,3.6,8.8,11.0,13.8,13.5,9.4,3.9,4.5,1.2
1993,1.5,-2.5,0.0,6.5,9.6,11.2,12.1,10.4,10.0,6.0,-0.8,2.2
1994,1.6,-1.2,3.2,3.9,7.7,11.1,15.9,12.8,9.7,5.9,7.2,2.6
1995,0.1,3.2,1.0,4.9,7.9,10.2,15.3,13.8,9.8,9.7,2.7,-2.0
1996,-1.3,-2.2,-0.7,3.1,6.5,10.7,11.8,12.6,7.8,6.4,3.1,-2.1
1997,-4.2,2.5,4.1,2.3,7.8,11.3,12.6,15.1,8.5,5.4,3.6,2.4
1998,2.2,1.8,2.5,5.3,9.4,11.7,12.1,11.6,11.3,5.8,0.1,1.5
1999,2.1,-1.6,2.8,5.0,9.3,10.2,13.8,12.6,13.0,6.3,1.8,1.7
2000,0.6,1.9,2.6,5.3,10.2,11.8,11.5,12.6,12.0,7.9,5.4,3.5
2001,0.1,0.3,3.0,3.9,9.0,10.4,13.6,13.4,9.1,11.5,1.8,-1.2
2002,0.9,3.2,2.4,3.5,9.3,12.3,13.2,14.4,8.9,6.7,5.6,1.7
2003,-1.8,-2.6,3.1,3.5,8.8,13.1,14.1,13.7,8.8,3.4,4.6,1.0
2004,-0.2,1.0,0.6,5.3,6.7,10.9,12.6,14.7,10.9,7.9,2.3,-1.2
2005,1.2,-2.0,2.8,5.1,7.7,11.5,13.7,11.0,10.7,9.5,3.5,0.4
2006,-2.7,-1.1,-0.5,4.2,9.3,11.3,15.9,12.1,13.0,10.6,5.4,2.3
2007,3.5,3.2,2.9,4.6,9.7,13.2,12.5,11.5,9.4,5.3,2.7,0.2
2008,2.6,0.8,1.6,3.7,10.0,11.2,12.7,13.3,7.9,6.4,3.6,-0.7
2009,-4.2,-0.3,1.7,6.3,8.3,10.3,13.5,13.2,10.0,6.0,6.7,-0.8
2010,-3.5,-0.8,1.5,2.9,6.1,11.2,15.0,12.9,9.2,5.4,3.1,-4.2
2011,0.4,0.9,1.2,7.0,8.7,12.0,11.9,12.7,11.3,7.4,4.5,3.0
2012,1.8,-5.1,3.4,3.6,9.3,11.3,13.1,14.1,8.9,6.5,4.5,1.7
2013,-0.3,-2.0,-1.8,3.3,6.9,10.8,14.2,12.8,9.8,8.9,2.5,2.8
2014,2.8,3.1,2.9,6.3,8.4,10.7,14.5,12.6,11.0,9.6,6.0,1.7
2015,0.6,-0.6,1.7,2.8,7.7,10.5,14.3,13.9,8.9,6.5,6.3,7.0
2016,1.9,1.0,0.7,3.7,9.4,13.2,14.5,13.5,12.3,5.9,3.4,1.2
2017,-3.3,2.6,4.3,2.5,10.0,13.5,13.7,13.7,9.8,9.9,3.8,1.9
2018,3.0,-3.8,1.0,7.0,10.3,13.4,15.2,14.2,9.8,7.3,3.9,2.8
2019,-0.3,2.5,3.9,4.2,6.3,13.1,13.4,13.4,9.4,8.4,3.0,3.0
2020,1.8,3.2,2.1,4.6,6.1,12.6,12.1,15.9,10.0,8.5,5.4,3.1
2021,0.2,1.3,1.5,1.1,6.6,13.7,13.7,12.6,11.0,7.0,2.8,2.7
2022,1.1,2.4,2.2,3.8,9.2,12.2,13.1,14.5,10.7,9.8,6.5,0.8
2023,2.2,1.9,3.0,3.4,7.8,13.4,13.8,13.8,13.2,9.9,5.3,4.1
