# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : MAREDSOUS
# Series code : 220
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1949,-0.1,-1.3,-2.2,4.3,5.6,7.8,10.4,10.7,12.2,6.6,1.0,0.2
1950,-3.5,1.3,0.7,2.5,7.1,11.0,12.0,11.7,10.0,4.5,2.8,-4.3
1951,1.4,0.5,-0.5,1.5,6.0,9.4,10.8,11.4,10.0,2.2,4.9,0.4
1952,-0.5,-2.1,2.1,4.5,7.5,9.1,12.2,12.0,6.5,4.4,0.5,-1.3
1953,-2.4,-2.4,-0.7,3.6,7.7,10.4,12.1,10.4,8.4,6.8,2.0,2.7
1954,-4.1,-3.2,2.2,1.3,6.0,10.3,10.2,11.3,9.4,7.4,1.6,2.3
1955,-2.2,-2.6,-2.3,2.7,5.3,9.4,12.4,11.3,8.8,3.4,1.7,1.2
1956,-0.4,-13.8,1.3,1.6,6.3,8.3,12.0,9.6,10.3,5.5,0.9,2.6
1957,-0.7,2.1,4.0,2.5,5.0,9.8,13.5,10.7,9.3,5.1,2.8,-0.9
1958,-1.0,0.0,-1.9,1.4,7.4,9.0,11.5,12.3,10.5,6.6,1.9,1.0
1959,-1.6,-3.5,2.2,4.1,7.2,9.5,11.8,11.4,6.2,3.4,2.1,2.1
1960,-0.9,-0.8,2.4,3.6,7.1,10.6,10.3,11.0,8.1,6.5,4.5,0.2
1961,-1.1,1.9,1.4,6.8,6.1,9.1,9.9,10.9,12.0,7.3,1.5,-1.3
1962,0.8,-1.8,-2.1,3.8,5.7,8.3,10.0,10.5,7.7,4.8,0.8,-3.5
1963,-8.5,-7.8,1.4,4.0,5.7,10.3,10.9,10.5,9.2,4.4,4.6,-5.4
1964,-2.6,0.8,-0.4,4.0,7.6,9.4,11.0,10.7,9.2,3.0,3.7,-1.0
1965,0.0,-2.7,0.7,3.1,6.8,9.7,10.7,10.4,8.2,3.9,0.2,1.5
1966,-3.1,3.7,0.9,4.7,7.2,10.7,10.5,10.4,8.1,8.2,0.1,0.9
1967,-0.4,1.2,2.7,1.3,6.9,9.0,11.7,10.9,9.0,8.1,0.1,-1.4
1968,-2.0,-0.9,1.8,3.2,6.0,9.5,11.5,12.2,10.0,7.8,1.9,-2.7
1969,1.3,-2.9,0.4,2.7,7.9,8.9,13.1,11.8,8.2,5.8,2.6,-3.9
1970,-0.7,-1.6,-1.2,2.6,6.8,10.9,11.0,11.4,9.5,6.7,4.5,-1.1
1971,-0.7,0.1,-2.1,3.1,8.1,9.1,11.5,11.9,6.7,3.6,0.2,1.6
1972,-1.0,0.0,0.6,3.8,6.5,8.7,12.5,10.6,6.6,2.1,2.8,0.3
1973,-0.7,-0.8,-0.9,2.4,7.5,10.6,12.1,12.0,9.8,4.3,1.1,-0.7
1974,2.5,0.7,2.2,3.2,5.4,8.8,11.1,11.1,9.0,4.1,3.3,4.0
1975,3.4,-1.4,1.8,3.6,5.9,9.1,12.2,12.7,10.4,4.6,0.8,-1.6
1976,1.2,-0.9,-1.3,1.7,6.3,10.3,13.2,9.9,8.3,7.1,4.0,-2.3
1977,0.4,1.2,2.7,1.4,6.4,10.0,11.9,11.2,6.6,7.3,3.6,1.6
1978,-0.4,-1.5,2.5,1.8,7.4,9.4,10.1,9.4,8.0,6.1,1.1,-0.5
1979,-7.4,-2.5,1.2,3.1,6.0,10.8,11.0,10.3,8.3,7.1,1.6,3.1
1980,-2.7,1.7,1.7,2.6,5.4,9.7,10.8,12.1,9.7,4.3,1.4,-0.4
1981,-0.8,-3.0,5.3,4.2,7.7,10.0,12.0,11.7,8.5,5.0,2.9,-1.7
1982,-2.1,-0.2,1.2,2.2,6.8,11.2,12.3,11.9,10.0,6.7,4.6,0.8
1983,2.1,-3.4,1.7,3.8,6.4,10.5,14.0,12.0,9.1,5.7,1.2,0.6
1984,0.5,-1.3,-1.3,1.4,5.5,8.8,10.1,11.5,9.1,7.3,5.6,1.1
1985,-8.3,-4.7,-0.3,3.6,8.1,8.9,11.1,10.1,8.2,4.9,-0.8,2.6
1986,-1.1,-9.7,-0.3,2.0,7.1,10.6,11.4,9.6,4.8,7.4,4.0,1.5
1987,-6.1,-2.0,-1.4,4.7,4.9,9.3,11.3,11.3,10.6,6.8,2.7,0.6
1988,2.9,0.6,1.9,2.4,8.2,10.0,11.4,11.0,9.6,6.6,0.8,4.4
1989,0.5,0.1,3.6,2.5,6.9,8.6,11.7,11.3,8.9,8.1,1.1,0.8
1990,1.5,3.4,2.9,1.6,6.6,9.9,9.8,11.9,6.8,7.7,2.7,-0.1
1991,-0.3,-5.4,4.1,1.6,4.2,8.5,12.8,11.1,8.8,5.6,1.5,-0.6
1992,-1.0,0.1,2.9,3.6,8.2,10.5,12.1,12.8,8.5,3.0,3.8,0.7
1993,1.2,-1.4,0.2,5.5,9.0,10.7,11.4,9.0,8.8,5.8,-1.8,1.7
1994,1.5,-1.2,2.9,3.4,7.2,10.2,14.2,11.8,9.1,4.7,6.9,1.9
1995,0.2,2.7,0.8,4.0,6.8,9.2,13.9,13.2,9.1,8.9,2.4,-2.0
1996,-1.2,-2.6,-0.9,2.4,5.6,9.7,10.9,11.4,7.5,5.5,2.2,-2.1
1997,-4.3,2.2,3.9,2.3,7.4,10.6,11.8,13.9,7.9,4.6,3.1,2.0
1998,0.6,0.4,2.7,4.6,8.6,10.8,11.1,10.0,10.6,5.2,-0.8,0.9
1999,1.5,-1.7,2.5,4.6,8.5,9.5,13.0,11.6,11.8,5.4,1.2,1.0
2000,0.1,0.7,2.3,4.3,9.6,10.1,10.8,12.0,10.3,7.0,4.0,2.7
2001,-0.3,0.4,2.8,3.3,8.2,9.2,12.5,12.7,8.2,9.7,1.1,-1.4
2002,-0.2,3.2,2.2,3.1,7.4,11.1,12.3,13.6,8.8,5.6,4.9,1.9
2003,-1.6,-2.7,2.8,3.3,7.9,12.4,12.8,13.6,7.6,2.5,4.1,0.3
2004,-0.9,0.9,1.0,4.8,6.1,10.3,11.5,14.1,10.3,6.7,2.4,-1.7
2005,1.0,-1.6,2.0,4.7,7.5,11.1,13.6,10.9,10.6,8.9,2.3,-0.1
2006,-2.7,-0.9,-0.5,3.4,8.8,10.4,15.6,12.1,12.4,9.7,4.6,1.9
2007,3.4,2.5,2.1,5.2,9.1,12.9,11.9,11.1,8.3,5.2,2.1,0.3
2008,2.3,0.1,2.3,3.3,9.4,10.6,12.1,12.3,7.7,4.5,3.0,-0.9
2009,-4.7,-0.5,1.3,5.6,7.5,10.1,12.6,11.3,8.9,5.7,5.6,-1.4
2010,-3.5,-1.3,1.4,2.6,5.7,10.3,13.0,11.4,8.3,5.0,2.4,-4.6
2011,0.2,0.9,1.1,6.2,7.3,10.8,11.0,11.6,10.0,6.0,3.4,2.5
2012,1.4,-5.0,2.8,2.4,8.3,10.1,11.7,12.5,7.4,5.6,3.0,1.5
2013,-1.2,-2.6,-2.0,2.7,6.5,10.1,13.6,11.3,8.8,7.9,1.9,1.9
