# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : STAVELOT
# Series code : 219
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1945,-9.6,1.0,0.7,1.7,5.8,8.3,9.5,8.9,8.7,4.3,1.5,-0.1
1946,-5.5,0.8,-1.1,-0.1,5.3,7.7,9.9,9.0,7.3,3.9,1.5,-3.6
1947,-6.5,-8.9,-1.5,2.1,6.4,9.7,11.1,9.2,8.2,0.9,2.1,-0.2
1948,1.6,-2.0,-0.2,2.3,5.5,8.3,10.1,10.1,7.4,2.3,-0.5,-1.5
1949,-1.1,-2.7,-4.4,3.1,4.5,6.5,7.9,9.4,10.4,4.5,-0.5,0.2
1950,-4.8,0.3,-1.0,1.7,5.4,9.1,10.9,9.7,8.8,3.3,1.9,-5.1
1951,1.2,0.6,-1.8,0.1,4.1,8.5,9.6,10.2,8.5,0.8,4.6,-0.0
1952,-0.9,-2.8,0.1,2.0,5.3,7.7,11.1,10.2,5.3,2.6,0.1,-2.2
1953,-3.2,-4.3,-2.3,1.6,5.5,9.4,10.9,8.9,6.4,5.6,1.6,1.2
1954,-5.9,-4.3,-0.3,-1.1,3.9,8.5,9.1,10.1,8.1,6.3,0.7,1.2
1955,-3.5,-4.9,-5.2,0.0,3.6,8.3,10.9,10.0,6.8,1.9,-0.4,0.5
1956,-1.9,-17.2,-1.4,-0.2,4.8,7.8,10.8,8.1,8.3,4.8,-0.4,1.8
1957,-2.5,1.4,2.0,0.5,2.9,8.0,11.8,8.9,8.0,4.1,2.7,-1.1
1958,-2.1,-0.7,-4.5,-0.1,6.0,7.3,10.4,11.2,9.1,5.7,2.3,0.6
1959,-1.5,-4.5,0.5,2.9,5.1,8.1,10.3,9.5,4.1,0.5,0.7,1.5
1960,-3.3,-2.5,0.2,1.6,5.3,8.9,8.9,10.0,6.3,5.2,4.1,-0.3
1961,-1.7,0.1,-0.7,5.2,4.5,7.8,9.0,9.5,9.9,5.9,0.8,-2.2
1962,-0.4,-2.4,-4.7,1.8,4.0,6.1,9.2,9.3,6.8,2.6,0.0,-4.8
1963,-10.2,-8.7,-1.6,1.7,4.4,8.6,9.1,8.9,7.5,2.7,3.7,-6.9
