# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : OOSTENDE
# Series code : 212
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1937,1.7,3.2,0.3,5.4,7.7,9.0,11.8,11.9,8.4,7.5,2.3,0.3
1938,2.8,0.1,2.3,1.6,5.7,9.0,10.1,11.9,9.8,5.6,5.8,-1.6
1939,3.2,0.9,1.8,4.6,6.5,9.8,10.5,11.5,10.0,5.4,5.5,-0.6
1940,-6.6,-2.4,1.8,4.6,7.0,9.8,10.8,9.4,8.4,5.0,4.4,-2.5
1941,-3.4,-0.6,1.2,2.5,4.0,11.2,12.7,10.3,9.4,6.2,2.3,1.5
1942,-6.7,-6.7,0.3,4.2,7.0,8.8,11.2,12.2,10.5,9.3,2.8,1.8
1943,1.7,1.6,1.1,5.8,7.6,9.3,11.2,12.0,8.6,8.1,2.1,-0.4
1944,3.3,-1.9,-1.4,4.8,5.0,9.3,12.2,13.3,8.8,6.5,3.5,-0.0
1945,-6.7,3.4,3.0,4.9,8.5,10.4,11.6,11.1,10.5,7.7,2.8,1.0
1946,-2.0,2.3,0.7,3.7,7.2,8.8,11.4,10.6,9.9,5.9,3.8,-2.2
1947,-3.1,-6.6,0.5,4.8,8.8,11.4,12.7,12.4,11.2,4.7,4.2,1.6
1948,3.7,-0.1,2.2,4.9,7.6,9.9,11.1,11.4,9.7,5.6,2.5,0.7
1949,1.9,0.3,-1.1,5.3,6.1,8.0,10.8,11.3,12.6,7.9,1.9,1.6
1950,-1.1,2.8,1.8,3.4,7.6,11.4,12.3,11.7,9.9,5.8,3.7,-3.3
1951,3.1,1.7,0.2,2.4,6.4,9.5,10.8,11.6,10.7,4.2,5.9,1.9
1952,1.1,-0.7,2.0,5.0,8.0,9.5,12.2,12.1,7.1,5.4,1.3,-0.5
1953,-0.8,-0.7,0.1,4.2,7.8,10.5,12.0,11.0,9.0,8.0,3.5,3.5
1954,-2.4,-2.3,2.4,1.7,6.6,9.8,10.1,11.2,9.7,8.7,3.5,3.3
1955,-1.7,-1.8,-1.9,3.2,5.5,9.1,12.1,12.3,9.8,5.7,3.2,1.9
1956,0.1,-10.1,0.5,1.5,5.8,8.5,11.9,10.1,10.5,6.6,2.7,3.3
1957,1.2,1.8,3.5,3.6,6.0,10.1,12.2,11.6,9.6,6.9,3.8,-0.1
1958,0.5,1.1,-1.2,2.5,6.5,9.1,10.9,12.0,12.0,8.1,2.7,1.9
1959,-0.3,-2.3,2.8,4.7,8.7,9.5,11.6,12.6,9.7,6.9,2.1,2.2
1960,0.7,0.5,1.9,5.3,7.2,10.7,10.8,11.6,9.8,7.6,5.2,0.9
1961,0.3,2.6,2.6,6.8,7.4,9.7,11.2,11.5,12.0,7.6,2.7,-0.7
1962,1.1,0.7,-1.0,4.0,6.3,8.9,10.5,10.5,9.1,6.9,2.7,-2.5
1963,-7.3,-5.7,1.0,4.1,5.8,10.4,11.3,10.8,11.0,6.4,5.1,-3.0
1964,-1.4,1.2,0.1,4.0,8.0,9.8,11.5,12.0,9.5,4.8,4.3,0.0
1965,0.4,0.2,0.4,3.8,7.4,9.9,11.1,10.9,8.2,5.9,0.7,2.7
1966,-2.6,2.5,2.5,4.4,6.5,11.0,11.2,11.9,10.0,8.0,2.5,2.5
1967,0.9,1.8,3.1,3.7,6.9,10.0,11.7,11.4,9.6,7.6,1.5,0.8
1968,0.0,-0.8,1.7,3.1,6.2,9.4,10.7,13.2,10.3,9.0,2.2,-1.6
1969,2.4,-1.7,0.1,2.6,7.1,10.0,12.0,12.4,9.6,7.7,3.5,-2.5
1970,0.2,-0.3,-0.1,3.0,7.4,11.0,11.4,10.8,9.5,7.2,4.9,0.2
1971,-0.8,1.5,-0.5,3.8,7.7,9.3,12.0,11.9,7.9,4.8,3.5,2.7
1972,-0.6,0.4,0.6,5.3,7.0,8.2,12.6,11.0,8.5,4.4,3.6,0.9
1973,0.4,1.0,-0.2,2.4,6.8,10.3,11.8,12.0,9.8,5.5,3.0,0.4
1974,2.5,1.8,1.6,4.4,6.1,9.7,11.4,10.2,8.3,5.4,3.5,4.9
1975,4.0,-0.6,1.9,3.3,7.2,9.9,12.2,13.2,10.9,5.8,1.9,0.8
1976,2.8,-1.2,-1.1,2.1,6.4,11.4,13.7,12.6,9.9,7.7,4.1,-0.7
1977,0.7,1.3,2.2,2.0,6.8,9.4,12.5,10.9,8.5,7.1,5.1,2.4
1978,0.5,-1.5,2.1,1.5,7.9,10.4,10.3,10.9,10.6,7.4,3.2,-0.2
1979,-4.5,-2.0,1.0,3.6,5.6,9.5,11.5,11.2,8.3,6.9,3.2,3.9
1980,-1.4,2.1,1.0,3.1,6.7,9.2,11.3,12.0,10.5,5.2,2.8,1.6
1981,2.2,-1.5,4.7,4.3,7.5,10.4,11.8,11.7,9.7,6.1,4.9,-0.6
1982,-1.3,0.3,1.7,4.3,6.9,11.7,13.7,12.8,11.0,8.3,5.8,1.6
1983,3.9,-1.7,1.7,4.0,6.4,11.5,14.1,14.2,10.8,7.4,3.0,1.6
1984,1.4,0.1,0.5,2.5,6.9,9.6,11.2,12.4,10.5,7.8,5.9,2.1
1985,-6.0,-4.1,0.2,4.5,7.9,9.9,11.3,10.4,9.7,6.9,0.5,3.7
1986,0.6,-6.4,-0.2,2.2,6.2,10.9,11.9,10.0,6.9,7.8,4.6,2.9
1987,-3.6,-0.8,-1.2,5.4,6.1,9.8,12.5,12.1,11.3,6.8,5.1,1.4
1988,3.2,2.0,3.2,3.0,8.5,11.3,11.0,11.2,10.2,8.0,2.6,5.6
1989,1.9,1.9,4.2,2.7,8.3,10.1,13.6,11.7,10.9,9.3,2.0,1.6
1990,2.7,3.6,3.8,3.1,7.4,9.3,10.9,12.3,9.8,8.4,3.8,1.5
1991,0.4,-3.3,4.6,2.8,6.4,8.5,13.0,11.7,10.0,6.8,3.3,1.1
1992,0.0,1.0,3.9,4.0,8.8,12.2,12.8,12.7,9.6,4.9,5.2,1.4
1993,2.0,1.0,0.6,5.3,8.9,11.4,12.0,11.4,9.6,6.7,0.5,3.3
1994,3.1,-0.9,3.9,4.8,8.3,10.6,14.1,13.3,10.2,5.1,7.6,3.1
1995,2.3,4.1,1.6,4.7,6.6,10.6,13.5,15.5,11.6,8.8,5.0,-1.2
1996,0.0,-2.1,-0.3,3.0,6.6,10.6,11.0,11.8,9.3,7.8,3.6,-1.0
1997,-3.4,2.9,4.8,3.1,7.7,11.3,12.5,15.2,8.8,5.8,4.2,3.2
1998,1.6,0.4,4.1,4.3,9.6,11.2,12.7,11.1,11.8,7.1,1.6,3.4
1999,3.1,1.3,2.9,5.7,9.2,10.2,14.1,12.4,12.4,7.8,4.5,3.1
2000,1.6,2.6,4.2,4.5,9.8,11.2,12.2,12.0,11.6,8.1,4.4,3.2
2001,-0.2,1.8,2.7,4.4,9.3,10.0,13.4,12.9,10.6,9.9,4.7,0.6
2002,1.0,4.7,2.9,4.6,8.0,10.7,12.7,13.5,10.8,6.5,5.6,1.8
2003,0.0,-2.0,2.1,3.9,8.2,12.0,12.8,14.0,9.0,3.9,4.3,1.4
2004,1.8,3.3,2.4,4.9,6.9,11.3,11.8,14.1,11.5,7.6,4.3,1.1
2005,2.9,0.3,1.6,4.4,7.6,11.4,13.2,11.4,11.0,10.7,4.7,1.8
2006,-0.9,0.8,0.5,4.7,8.7,10.9,15.3,13.1,12.8,9.1,6.0,2.8
2007,4.9,3.1,3.8,6.2,9.4,12.8,12.2,12.1,9.7,6.7,4.8,1.5
